id,idvalatvalidation,ref,title,region,subregion,hostcountry,hostcountry2,provincestate,status,type,subtype,methodology,stperiodktco2eyr,ndperiodktco2eyr,rdperiodktco2eyr,yrs,slope,creditstart,expectedaccumulated2012ktco2e,expectedaccumulated2020ktco2e,expectedaccumulated2030ktco2e,validator,hostcountryuse,kcerscp1,kcerscp2,totalissuancekcers,firstissuance,until,expectedkcers,issuancesuccess,issuancedelaymonths,voluntarycancellationskcers,firstverifier,creditbuyer,withdrawncreditbuyer,pddconsultant,firststartcomment,resubmissiondate,formersubmission,nextsubmission,hostloa,regrequest,startdatefor4weekrequestreviewpe,dateofregistration,dateofderegistration,reviewhistory,sdtoolgoldstandardccbprojectnumb,mwel,fulltimehours,gridemissionfactortco2emwh,annualeegwhreduced,forestsizeha,automaticadditionality,supportedbycdmloanscheme,investmentmus,investmentustco2,investmentuskw,annualinvestmentcontribution,irrexclcer,irrbenchmark,irrinclcer,cerpriceustco2,lastcontactwithsecretariatupdate,approvedbyndrckccers,comments,ERPA,firstcountry,firstcompany,Buyer,World Bank,creditbuyer,withdrawncreditbuyer,Yes/No,cerfomular ,cer,treat,energy1triditional2re3both4cemen,projectdeveloper,consulting,trading,sustainabilitysolutions,multiplecountries,buyers,financeexclusivelyenvironmentala,carbontrade,caronornot,buyerstatus1privatelocal2private,sector,industry,subindustry,monty,day,year
CDM11788,UZEKWF4NNHEIIZR6JXM6EYMQZHB4YI,8598,Nanba Associated Gas Processing Plant and the Auxiliary Engineering,Asia & Pacific,East Asia,China,,Heilongjiang,Registered,Fugitive,Oil field flaring reduction,AM9,301.7,,,10,-54,7-Dec-12,0,2435,3017,BV Cert,,34,1362,1396,13-Jun-14,31-Dec-15,1499,93%,18,,ERM CVS,Australia (Macquarie Bank),,n.a.,26-Jul-12,,,,1-Aug-12,6-Dec-12,9-Feb-13,7-Dec-12,,,,0,,,,,,,82.30000305,273,,#REF!,4.97,12,,8.29,2017m5,,,9/30/11,Australia ,Macquarie Bank,Australia (Macquarie Bank),,Australia (Macquarie Bank),,0,8.29,8.29,0,,,,,,,,,,,,,,,9,30,2011
CDM04892,RIH9Q4Z0QQ2RNQ07GQCEHO94UWIIJL,4101,Yunnan Lixianjiang Shimenkan Hydropower Project,Asia & Pacific,East Asia,China,,Yunnan,Registered,Hydro,New dam,ACM2,483,,,7,0,15-Oct-11,586,4453,9285,DNV,,94,,94,13-Dec-12,30-Apr-12,262,36%,14,,ERM CVS,"Australia (Macquarie Bank), Netherlands",,CWEME,4-Mar-09,,,,1-Aug-10,11-Nov-10,8-Jan-11,5-Feb-11,,,,130,4386,,,,,,131.1999969,272,1009.6,#REF!,5.9,8,9.399999619,9.47,2012m12,,20W/m2,5/7/10,Australia ,Macquarie Bank,"Australia (Macquarie Bank), Netherlands",,"Australia (Macquarie Bank), Netherlands",,1,9.470000267,9.470000267,0,0,0,0,0,0,0,0,0,0,0,2,Financials,Banking,Banks,5,7,2010
CDM11075,RKG1K9QEQJFP2VKRP02DWIOS8FP0SL,7234,Xitieshan Phase &#1064; 60MWp Grid-connected Solar PV Power Generation Project,Asia & Pacific,East Asia,China,,Qinghai,Registered,Solar,Solar PV,ACM2,87.3,,,7,0,1-Jan-13,0,699,1572,LRQA,,,,,,,,,67,,,"Australia (Macquarie Bank), United K. ( Macquarie Bank)",,CGN Carbon Asset Management (Beijing) Co.,19-Apr-12,,,,1-May-12,7-Sep-12,4-Dec-12,24-Oct-12,,,,60,1623,0.8964,,,,,145.6999969,1669,2427.7,,6.48,8,7.519999981,9.47,2013m6,,,10/17/11,Australia ,Macquarie Bank,"Australia (Macquarie Bank), United K. ( Macquarie Bank)",,"Australia (Macquarie Bank), United K. ( Macquarie Bank)",,1,9.470000267,9.470000267,0,0,0,0,0,0,0,0,0,0,0,2,Financials,Banking,Banks,10,17,2011
CDM10473,CO5JGNTOT02DH6IA7TKJIWH5NA6UGL,7674,Suqian Municipal Solid Waste Incineration for Power Generation Project,Asia & Pacific,East Asia,China,,Jiangsu,Registered,Landfill gas,Combustion of MSW,AM25,72.7,,,7,12.80000019,1-Nov-12,5,594,1321,ERM CVS,,,,,,,,,69,,,Australia (Macquarie Bank),,Stargate Success,23-Feb-12,,,,1-Jul-12,11-Oct-12,14-Dec-12,15-Oct-12,,,,12,5000,0.7495,,,,,40.59999847,559,3383.4,,5.21,8,8.270000458,9.47,2015m12,,,10/19/11,Australia ,Macquarie Bank,Australia (Macquarie Bank),,Australia (Macquarie Bank),,1,9.470000267,9.470000267,0,0,0,0,0,0,0,0,0,0,0,2,Financials,Banking,Banks,10,19,2011
CDM10474,0OS444VWDAMFTDTMARY3I0DNHZMM0B,7009,Zhenjiang Municipal Solid Waste Incineration for Power Generation project,Asia & Pacific,East Asia,China,,Jiangsu,Registered,Landfill gas,Combustion of MSW,AM25,140.1,,,7,23.5,1-Oct-12,35,1156,2558,ERM CVS,,,,,,,,,70,,,Australia (Macquarie Bank),,Stargate Success,23-Feb-12,,,,1-Jul-12,7-Sep-12,16-Nov-12,12-Sep-12,,,,24,4767,0.7495,,,,,74.69999695,533,3110.5,,6.09,8,9.420000076,9.47,2015m12,,,10/19/11,Australia ,Macquarie Bank,Australia (Macquarie Bank),,Australia (Macquarie Bank),,1,9.470000267,9.470000267,0,0,0,0,0,0,0,0,0,0,0,2,Financials,Banking,Banks,10,19,2011
CDM10472,HVO0PQYV494D0ULBP2WZQA9D6UNR4J,7694,Suzhou Phase III Municipal Solid Waste Incineration for Power Generation Project,Asia & Pacific,East Asia,China,,Jiangsu,Registered,Landfill gas,Combustion of MSW,AM25,188.4,,,7,32.29999924,18-Dec-12,0,1515,3401,ERM CVS,,,,,,,,,67,,,Australia (Macquarie Bank),,Stargate Success,23-Feb-12,,,,1-Jul-12,15-Oct-12,1-Feb-13,18-Dec-12,,Request,,30,5200,0.7495,,,,,97.59999847,518,3254.8,,6.05,8,9.470000267,9.47,2015m12,,,3/20/12,Australia ,Macquarie Bank,Australia (Macquarie Bank),,Australia (Macquarie Bank),,1,9.470000267,9.470000267,0,0,0,0,0,0,0,0,0,0,0,2,Financials,Banking,Banks,3,20,2012
CDM11528,FXJ4UTEZI4RY8L4DZ1G6HM1VBCXLMP,8086,Fujian Gaosa Hydropower Project,Asia & Pacific,East Asia,China,,Fujian ,Registered,Hydro,Run of river,ACM2,136.2,,,7,0,1-Dec-12,12,1101,2464,RINA,,,,,,,,,68,,,n.a.,,n.a.,7-Jun-12,,,,1-Jul-12,7-Nov-12,19-Jan-13,28-Nov-12,,,,50,3634,0.7495,,,,,49.70000076,365,994.1,,6.51,8,8.229999542,10.66,2013m6,,,4/12/10,Australia ,n.a,n.a.,,n.a.,,1,10.65999985,10.65999985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,2010
CDM08757,L7G8F40ZWDULQIDDPQANCZ0Y7TYSFL,5409,Fumin Dafengyakou 33MW Wind Power Project,Asia & Pacific,East Asia,China,,Yunnan,Registered,Wind,Wind,ACM2,65.1,,,7,0,1-Apr-12,49,570,1222,CEC,,,,,,,,,76,,,Australia (Macquarie Bank),,Beijing Yumu Consulting,11-Oct-11,,,,1-Jan-12,6-Mar-12,27-Apr-12,12-Mar-12,,,,33,2336,0.8448,,,,,48.29999924,742,1464.5,,6.1,8,9.050000191,12.44,2013m11,,,10/21/11,Australia ,Macquarie Bank,Australia (Macquarie Bank),,Australia (Macquarie Bank),,1,12.43999958,12.43999958,0,0,0,0,0,0,0,0,0,0,0,2,Financials,Banking,Banks,10,21,2011
CDM08753,KI40GYC5H7TJW0FDKEOPNBD4SC1K6U,5974,Fumin Mayingshan 40.5MW Wind Power Project,Asia & Pacific,East Asia,China,,Yunnan,Registered,Wind,Wind,ACM2,68.8,,,7,0,4-May-12,45,596,1285,CEC,,,,,,,,,75,,,Australia (Macquarie Bank),,Beijing Yumu Consulting,11-Oct-11,,,,1-Jan-12,29-Mar-12,22-Jun-12,4-May-12,,,,40.5,2011,0.8448,,,,,50.90000153,739,1255.8,,6.36,8,9.590000153,12.44,2013m11,,,10/21/11,Australia ,Macquarie Bank,Australia (Macquarie Bank),,Australia (Macquarie Bank),,1,12.43999958,12.43999958,0,0,0,0,0,0,0,0,0,0,0,2,Financials,Banking,Banks,10,21,2011
CDM11977,DWTSNIZ6JCQKXCTZLV58N2E37R6XVL,8555,Xinjiang Hami Southeast Wind Zone Yandun Third Wind Farm Project,Asia & Pacific,East Asia,China,,Xinjiang,Registered,Wind,Wind,ACM2,384.6,,,7,0,1-Jul-14,0,2503,6351,ERM CVS,,,,,,,,,49,,,Australia (Macquarie Bank),,n.a.,6-Sep-12,,,,1-Nov-12,6-Dec-12,25-Jan-13,10-Dec-12,,,,200,2145,0.8964,,,,,237.3000031,617,1186.6,,6.03,8,8.529999733,12.44,2014m3,,,8/29/12,Australia ,Macquarie Bank,Australia (Macquarie Bank),,Australia (Macquarie Bank),,1,12.43999958,12.43999958,0,0,0,0,0,0,0,0,0,0,0,2,Financials,Banking,Banks,8,29,2012
