id,idvalatvalidation,ref,title,ERPA
CDM00233,ZW891KT3S00W41PRC0KW3K3HHK1DDG,362,Sri Balaji 6 MW Non-Conventional Renewable Sources Biomass Power Project,12/6/02
CDM01523,GAYRY8PNKUPZMVW3US8D3AI4ZAQT94,1054,Golden Hope Composting Project - Melalap.,4/8/03
CDM02630,L6ZOCQ8V0PVLQ8IC3OCD0W1T738HOX,2319,INPA Fuel Switch Project,5/15/04
CDM01845,6O7LHCT2CKOPZ0R1E5SIXC7879PVVX,1896,Jincheng Sihe Coal Mine CMM Generation Project,11/6/04
CDM00884,XY8U4DINUGFY4WYUO1F4OPWTTRGSAX,842,Hebei Shangyi Manjing East Wind Farm Project,1/1/05
CDM04201,1Q8U14ZN246YGASJ5A1VZBI2ZZBGY4,2839,Chongqing Pengshui Sanjiangkou Hydropower Station,4/20/05
CDM02449,LUJB68CIQK0IIZPF8304ETQ6DBRJ1P,3787,Ningxia Shizuishan 4.0 MW Coal Mine Methane Power Generation Project,4/28/05
CDM02584,1F0MFCTBSA9OLO44QT11PWUWD4F2NE,3461,Rio Amoy Run-of-River Hydro Project,5/2/05
CDM03336,AH9ZDBLT1V5BIH3B9HSRXBQFG5KB6T,4036,Jinping Maguo River Hydropower Station,6/21/05
CDM01409,MH9SPL9SLQ3PLRD9E7VA3OQPA6HKPH,1291,Enercon Wind Farms in Karnataka Bundled Project Ð  30.40 MW,7/1/05
CDM00973,5SW8CBKOJ58MYBEAG6WNCNB39JR5WQ,2558,Zhongliangshan Coal Mine Methane Project,7/2/05
CDM02350,7II4GGKD6BFP1GSH9CQWB8U4KWZ5R1,1657,Laiwu Iron & Steel Group Laigang Inc. 25MW Waste Gas Power Generation Project,8/3/05
CDM00867,FKX5NCPNXW47QWKNAI5SY3LYOY3EPR,877,Hebei Chengde Songshan Wind Farm Project,9/1/05
CDM05791,B0HZXF5XRHA0LZGP3DHW7QHPDSSA61,4463,"Metro Delhi, India",9/1/05
CDM00988,CFQLSAIOKPFX0ET99YT7T4RIP9V8SJ,1689,Chongqing Iron & Steel Co. Ltd. Waste Gas to Electricity Project,10/3/05
CDM01006,ZJM41B2PU0XX6VSTGSYMF7KXULO24F,1929,Nantong Coalmine Methane,10/15/05
CDM01642,R0ELBG2HXEZWZ346RBXJ8F1U5N9ETN,4214,Wastewater Treatment with Biogas System (UASB) in a Starch Plant for Energy & Environment Conservation at Nakorn Ratchasima,10/28/05
CDM07585,4EHTBZ1HZB4A9TLQIRHK0MYI3CRA5E,4945,"BRT Metrobus Insurgentes, Mexico",10/31/05
CDM01410,OXVWZAF5DIIKOJYLAKJC48EY8HWMFY,1299,Enercon Wind Farms in Karnataka Bundled Project Ð 33 MW,12/7/05
CDM00732,CEVNYP4UWO5NQR9JPY07DC7ESLZYCY,1074,Yunnan Yingjiang Nandihe Hydro Power Project,12/15/05
CDM01823,2NU1OCP99UCZR23DF684UU7P97MU0I,2236,Yunnan Dujiacun Small Hydropower Project,12/15/05
CDM01426,4GSTDDCKD0IL1JLUKRI2ZNE1V7P55B,1259,Enercon Wind Farm (Hindustan) Ltd in Karnataka,12/15/05
CDM01001,LYAMQDHR5SOQQY01XLJ0OHQVMT8WDW,778,Hebei Jinzhou 24MW Straw-Fired Power Project,1/1/06
CDM01698,7DP8PK0BVM299NGGFXVOXGXD9R0IBC,1263,Shandong Wudi Biomass Generation Project,1/1/06
CDM00144,E6TEOOEF3MAN4SKPFNYJ3QRQZ69LWR,121,Bagepalli CDM Biogas Programme,1/1/06
CDM01491,9IBWZ3VHXUZT06HS8AAJMCX9S28ICK,1607,"Hubei Xiakou Hydropower Project of Nanzhang County, Xiangfan City, Hubei Province, P.R. China",1/15/06
CDM01562,B897G49JDGYNX54HT8AMAGIKF6W5RA,1153,"Methane recovery and utilisation project at United Plantations Berhad, Jendarata Palm Oil Mill",2/24/06
CDM00227,C7HRKSVHQ0VAGG09KR6K78YBOFR8M8,173,Moldova Energy Conservation and Greenhouse Gases Emissions Reduction,2/24/06
CDM00226,ZAPLVZO45Y0WK8RF6V60SXN2G663TC,159,Moldova Biomass Heating in Rural Communities (Project Design Document No. 1),2/24/06
CDM00231,48XAM40VV9UKWZSG16HCYTC0F80K5C,160,Moldova Biomass Heating in Rural Communities (Project Design Document No. 2),2/24/06
CDM01908,1X9TDM7O0Z4IR7GIPKJRT8BN7NIS1L,2103,Gansu Huanghe Chaijiaxia Hydropower Station Project,3/10/06
CDM01441,WUK8KKG1Y9XLED885NU2H69A6XUR9F,1127,Hongyuan 10 MW Small Hydropower Project,3/10/06
CDM01439,4I7GIFSGJXAMOBNIIGORXPPNQUA7PU,1213,Wuhuzha 12 MW Small Hydropower Project,3/10/06
CDM01611,HCHA5EN8JL90W2DGKMKVLGUNET6LNO,1319,"Shanxi Coal Transport Market Co., Ltd. Yangquan Branch CMM Utilization Project",3/29/06
CDM02264,NQSRM5VRWYUXXEIKDBKTHB7MA2C1T4,1801,Shanxi Datuhe Coal Mine Methane Utilization Project,4/2/06
CDM07671,9I39QY6TYK8FXC74YBDDSH8I7N5A3H,5583,"Xekaman 3 Hydropower Project, Lao PDR",4/4/06
CDM01887,KAH8ICGTO3ZGR3PM8E8I70R5ITGO61,5326,Hunan Changsha Qiaoyi Landfill Gas Recovery and Electricity Generation Project,4/12/06
CDM03370,GTI8PY7F14CWWJ33Q23DDSEE7HBPII,3503,Hebei Shengyuan Xuandong Coal Mine Methane Utilization Project,4/15/06
CDM01610,G8PVB6XAXX623D0NFHCI4YJY1JUCZO,1250,Shanxi Yangcheng Coal Mine Methane Utilization Project,4/20/06
CDM00262,3SLSEXRKWLBBTQZBBLGYBL294RBQGQ,136,Biogas Support Program - Nepal (BSP-Nepal)  Activity-1 ,5/1/06
CDM00267,LP2000CDP8BFVY2ELHVRP91IB7UE9R,139,Biogas Support Program - Nepal (BSP-Nepal)  Activity-2 ,5/1/06
