buyercompany,cer,projectnumber,sector,industry,buyerstat,psize,locationregion,location,treat,buyercountry,investmentmus,subregion,yrs,stperiodktco2eyr,expectedaccumulated2020ktco2e,expectedaccumulated2030ktco2e,Africa_x,Asia & Pacific_x,Europe & Central Asia_x,Latin America_x,Middle-East_x,Asia & PacificP,Latin AmericaP,AfricaP,Middle-EastP,Europe & Central AsiaP,Africa_y,Asia & Pacific_y,Europe & Central Asia_y,Latin America_y,Middle-East_y,Africa,Asia & Pacific,Europe & Central Asia,Latin America,Middle-East
A&T Carbon Asset Co.,12.6025,4,Financials,Asset Management,privatelocal,0.0,Asia & Pacific,China,0.0,United K. ,76.925,East Asia,7.0,108.02499725000001,933.5,2014.25,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
ACT Carbon Capital,10.361666766666666,6,Business consulting and others,Environmental Services,privatelocal,0.6666666666666666,Asia & Pacific,China,0.0,United K. ,64.9000015,East Asia,7.0,110.09999800000001,683.0,1784.5,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
AES AgriVerde,10.47,1,Energy,"Oil, Gas & Coal",privatelocal,1.0,Asia & Pacific,Indonesia,0.0,Netherlands ,0.98699999,Southeast Asia,7.0,39.200001,469.0,824.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
AES Carbon Exchange Ltd.,10.064000179999999,5,Financials,Asset Management,privatelocal,0.2,Asia & Pacific,China,0.0,Netherlands ,60.31999988,East Asia,7.0,197.2999982,1929.2,3903.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
Acciona Green Energy Developments,10.66,1,Utilities,Utilities,privatelocal,0.0,Asia & Pacific,India,0.0,Spain ,46.200001,Southern Asia,10.0,88.199997,882.0,882.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Agrinergy,10.36000005,2,Business consulting and others,Environmental Services,privateglobal,1.0,Asia & Pacific,Thailand,0.0,United K. ,1.5,Southeast Asia,8.5,25.750001,220.5,430.5,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Alliance Energy Investment Co.,12.14,2,Financials,Asset Management,privatelocal,0.0,Asia & Pacific,China,0.0,United K. ,66.8500025,East Asia,8.5,104.55000100000001,856.5,1495.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Arcadia,11.158148262962966,27,Energy,"Oil, Gas & Coal",privatelocal,0.25925925925925924,Asia & Pacific,Thailand,0.0,Switzerland ,39.68518496296296,Southeast Asia,8.0,89.7333334814815,720.5555555555555,1418.9259259259259,0.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0
Arreon Carbon UK,12.257164213432844,67,Financials,Asset Management,privateglobal,0.07462686567164178,Asia & Pacific,China,0.0,United K. ,91.8164178074627,East Asia,7.044776119402985,207.12388082089555,1782.910447761194,3557.582089552239,0.0,67.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0
Asian Development Bank,13.8587500625,8,Government,Supranationals,MDB,0.75,Asia & Pacific,Sri Lanka,0.125,Sweden ,38.587500097500005,Southern Asia,8.875,97.250002375,814.25,1009.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
