,id,idvalatvalidation,ref,title,region,subregion,hostcountry,hostcountry2,provincestate,status,type,subtype,methodology,stperiodktco2eyr,ndperiodktco2eyr,rdperiodktco2eyr,yrs,slope,creditstart,expectedaccumulated2012ktco2e,expectedaccumulated2020ktco2e,expectedaccumulated2030ktco2e,validator,hostcountryuse,kcerscp1,kcerscp2,totalissuancekcers,firstissuance,until,expectedkcers,issuancesuccess,issuancedelaymonths,voluntarycancellationskcers,firstverifier,creditbuyer,withdrawncreditbuyer,pddconsultant,firststartcomment,resubmissiondate,formersubmission,nextsubmission,hostloa,regrequest,startdatefor4weekrequestreviewpe,dateofregistration,dateofderegistration,reviewhistory,sdtoolgoldstandardccbprojectnumb,mwel,fulltimehours,gridemissionfactortco2emwh,annualeegwhreduced,forestsizeha,automaticadditionality,supportedbycdmloanscheme,investmentmus,investmentustco2,investmentuskw,annualinvestmentcontribution,irrexclcer,irrbenchmark,irrinclcer,cerpriceustco2,lastcontactwithsecretariatupdate,approvedbyndrckccers,comments,ERPA,firstcountryformular,firstcountry,firstcompany,buyer,worldbank,YesNo,cerfomular,cer,treat,energy1triditional2re3both4cemen,projectdeveloper,consulting,trading,sustainabilitysolutions,multiplecountries,buyersornot,financeexclusivelyenvironmentala,carbontrade,caronornot,buyerstatus1privatelocal2private,sector,industry,subindustry,month,day,year,location,locationregion,buyercountry,projecttype,buyercompany,locationsubregion,buyerdetination,psize,cobnefits
0,CDM01868,5NDQA20R242WZEJ88W2NDIMO5KGXU6,1258,Quezon City Controlled Disposal Facility Biogas Emission Reduction Project,Asia & Pacific,Southeast Asia,Philippines,,National Capital Region,Registered,Landfill gas,Landfill power,ACM1,116.3,,,10,-8.0,1-Feb-08,678,1163,1163,DNV,,467.0,261.0,728.0,25-Jun-09,30-Jun-16,1032.0,71%,17,,TV-SD,Switzerland (Bunge Emissions Group),"Italy (Pangea Green Energy), Spain (Government of Spain), Sweden (Government of Sweden)",Pangea Green Energy,1-Apr-07,,,,25-Apr-07,6-Aug-07,6-Oct-07,1-Feb-08,,Correction 1,,0.699999988,6000.0,0.46,,,,,1.600000024,14.0,2345.0,#REF!,-6.11,7.1,59.59999847,11.84,2017m4,,,2/14/07,Italy,Italy ,Pangea Green Energy,Italy (Pangea Green Energy),,0,11.84,11.84,0,,,,,,,,,,,,,,,2,14,2007,Philippines,Asia & Pacific,Italy ,Landfill gas,Pangea Green Energy,Southeast Asia,Italy (Pangea Green Energy),0,cob1
1,CDM04409,GZLH4WOE3FDT5UJ63JCIWIUFLSHGLH,2944,"Gorai Landfill closure and Gas Capture Project, Mumbai, India",Asia & Pacific,Southern Asia,India,,Maharashtra,Registered,Landfill gas,Landfill power,ACM1,124.0,,,10,-24.89999962,7-Feb-10,359,1240,1240,DNV,,,,,,,,,102,,,Spain (Asian Development Bank),,IL&FS Ecosmart,21-Oct-08,,,,6-Feb-09,9-Sep-09,11-Dec-09,7-Feb-10,,,,3.0,8760.0,,,,,,12.80000019,103.0,4257.6,,2.92,11.5,19.53000069,14.0,2012m10,,,2/26/09,Spain ,Spain ,Asian Development Bank,Spain (Asian Development Bank),,1,14.0,14.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Government,Supranationals,0,2,26,2009,India,Asia & Pacific,Spain ,Landfill gas,Asian Development Bank,Southern Asia,Spain (Asian Development Bank),0,cob1
2,CDM03513,7RPEJR97KT8GBIKILWGRPVJU5MOB9A,2271,Tecamac Ð EcoMethane Landfill Gas to Energy Project,Latin America,North America,Mexico,,Mexico,Registered,Landfill gas,Landfill power,ACM1,57.2,,,10,3.0,21-Mar-09,216,572,572,SGS,,41.0,,41.0,22-Feb-12,30-Sep-10,68.0,60%,36,,ERM CVS,United K. (Biogas Technology+EcoSecurities),,EcoSecurities,15-Apr-08,,,,23-Jul-08,21-Oct-08,22-Jan-09,21-Mar-09,,,,2.0,5329.0,,,,,,3.0,52.0,1533.3,#REF!,3.52,16.0,22.20000076,10.0,2015m7,,,10/29/07,United K. ,United K. ,EcoSecurities,United K. (Biogas Technology+EcoSecurities),,0,10.0,10.0,0,,,,,,,,,,,,,,,10,29,2007,Mexico,Latin America,United K. ,Landfill gas,EcoSecurities,North America,United K. (Biogas Technology+EcoSecurities),0,cob1
3,CDM05620,EL1ELU2OP9B5WDSFLNHWG67ANK86K6,3794,Shandong Qingdao Xiaojianxi Landfill Gas Utilization Project,Asia & Pacific,East Asia,China,,Shandong,Registered,Landfill gas,Landfill power,ACM1,159.7,,,10,-12.0,4-Dec-10,332,1597,1597,TV-Nord,CCER val.(3),155.0,,155.0,20-Mar-13,24-Mar-12,276.0,56%,28,,RINA,n.a.,Netherlands (E.ON),Easy Carbon,15-Sep-09,,,,1-Jan-10,18-Jun-10,6-Nov-10,4-Dec-10,,,,3.200000048,,,,,,,7.5,47.0,2348.3,#REF!,2.63,8.0,21.44000053,10.3,2013m3,,,6/18/09,Netherlands ,Netherlands ,E.ON Climate & Renewables GmbH,Netherlands (E.ON),,1,10.30000019,10.30000019,0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Energy,Renewable Energy,Renewable Energy Project Dev,6,18,2009,China,Asia & Pacific,Netherlands ,Landfill gas,E.ON Climate & Renewables GmbH,East Asia,Netherlands (E.ON),0,cob1
4,CDM07953,XNEPZB8MAQRIZVWKIKP2M3ZHB07FNB,5657,Anyang Tanggou MSW landfill site LFG recovery to power project,Asia & Pacific,East Asia,China,,Henan,Registered,Landfill gas,Landfill power,ACM1,51.1,,,10,2.900000095,8-Feb-12,43,455,511,SGS,,35.0,157.0,192.0,11/Mar/14,31/Dec/15,165.0,116%,25,,CQC,Luxembourg (Climate Change Investment I S.A. SICAR),,First Climate,3-Jun-11,,,,1-Nov-11,16-Jan-12,30-Mar-12,8-Feb-12,,,,3.0,2716.0,0.7707,,,,,3.5,68.0,1160.6,#REF!,-6.84,8.0,6.75,9.47,2016m10,,,3/30/11,Luxembourg ,Luxembourg ,Climate Change Investment I S.A. SICAR,Luxembourg (Climate Change Investment I S.A. SICAR),,1,9.470000267,9.470000267,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Financials,Asset Management,Investment Management,3,30,2011,China,Asia & Pacific,Luxembourg ,Landfill gas,Climate Change Investment I S.A. SICAR,East Asia,Luxembourg (Climate Change Investment I S.A. SICAR),0,cob1
5,CDM12138,FQE24PXBKTHGVAXFJMJAQTP37U65SW,8152,Beijing Haidian District Liulitun Landfill Gas Power Generation Project,Asia & Pacific,East Asia,China,,Beijing,Registered,Landfill gas,Landfill power,ACM1,116.5,,,10,1.100000024,22-Oct-13,0,838,1165,CEC,,,,,,,,,57,,,Switzerland (International Clean Fund),,n.a.,7-Nov-12,,,,1-Nov-12,26-Jun-13,6-Dec-13,22-Oct-13,,,,4.0,5072.0,0.8224,,,,,4.599999905,40.0,1155.1,,2.43,8.0,15.82999992,10.07,2014m5,,,12/28/10,Switzerland ,Switzerland ,International Clean Fund,Switzerland (International Clean Fund),,1,10.06999969,10.06999969,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,Financials,Specialty Finance,Other Financial Services,12,28,2010,China,Asia & Pacific,Switzerland ,Landfill gas,International Clean Fund,East Asia,Switzerland (International Clean Fund),0,cob1
6,CDM01813,78BYYOJE20BPO71T9ZQS4UMPN59H4Q,1694,Shenyang Daxin Landfill Gas to Electricity Project,Asia & Pacific,East Asia,China,,Liaoning,Registered,Landfill gas,Landfill power,ACM1,150.2,,,7,10.19999981,11-Jan-10,446,1648,3151,TV-SD,,100.0,,100.0,12-Oct-12,31-Dec-12,385.0,26%,34,,CEPREI,Denmark (Danish Ministry of Climate & Energy),,COWI,17-Mar-07,6-Nov-08,CDM09805,,1-Oct-09,4-Nov-09,14-Nov-09,11-Jan-10,,,,10.0,2753.0,,,,,,16.60000038,111.0,1660.0,#REF!,1.68,8.0,16.37000084,9.47,2013m7,,,3/21/07,Denmark ,Denmark ,Danish Ministry of Climate & Energy,Denmark (Danish Ministry of Climate & Energy),,1,9.470000267,9.470000267,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,Government,Government Agencies,0,3,21,2007,China,Asia & Pacific,Denmark ,Landfill gas,Danish Ministry of Climate & Energy,East Asia,Denmark (Danish Ministry of Climate & Energy),0,cob1
7,CDM06808,ZP5RFO43ELK04YFAEHS825I1P6L1R1,6797,Joburg Landfill Gas to Energy Project,Africa,Southern Africa,South Africa,,Gauteng,Registered,Landfill gas,Landfill power,ACM1,542.5,,,7,12.30000019,12-Nov-12,73,4416,9844,BV Cert,,25.0,91.0,117.0,15/Aug/14,31/Aug/14,919.0,13%,21,50.5,Carbon Check,Netherlands (Climate Neutral Group),United K. (Ecosecurities),EcoSecurities,21-Aug-10,,,,17-Nov-11,24-Jul-12,28-Sep-12,12-Nov-12,,Request,,17.0,3985.0,,,,,,27.70000076,51.0,1629.0,#REF!,3.68,13.82,21.04000092,22.28,2015m7,,,7/10/08,United K. ,United K. ,EcoSecurities,United K. (Ecosecurities),,1,22.28000069,22.28000069,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,Business consulting and others,Environmental Services,Other specialist business services,7,10,2008,South Africa,Africa,United K. ,Landfill gas,EcoSecurities,Southern Africa,United K. (Ecosecurities),0,cob1
8,CDM07120,HY387XR1NNBFGNZUDDQSPGP0XYMFTG,5523,Hangzhou II Landfill Gas Power Generation Project,Asia & Pacific,East Asia,China,,Zhejiang,Registered,Landfill gas,Landfill power,ACM1,200.8,,,10,9.800000191,26-Mar-12,154,1762,2008,TV-Nord,,,383.0,383.0,30/Mar/16,31/Jul/15,564.0,68%,49,,RINA,Switzerland (International Clean Fund),,Asja Ambiente Italia,16-Nov-10,,,,1-Nov-10,26-Mar-12,21-Apr-12,26-Mar-12,,,,6.599999905,5260.0,0.7691,,,,,11.19999981,56.0,1701.2,#REF!,2.15,8.0,17.17000008,10.07,2017m2,,,11/5/10,Switzerland ,Switzerland ,International Clean Fund,Switzerland (International Clean Fund),,1,10.06999969,10.06999969,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,Financials,Specialty Finance,Other Financial Services,11,5,2010,China,Asia & Pacific,Switzerland ,Landfill gas,International Clean Fund,East Asia,Switzerland (International Clean Fund),0,cob1
9,CDM08488,X6775FS3Q0I680S077HOWIRHDOSYQE,6073,Ningbo Yinzhou Landfill Gas Recovery and Utilization Project,Asia & Pacific,East Asia,China,,Zhejiang,Registered,Landfill gas,Landfill power,ACM1,78.4,,,10,4.6999998089999995,23-Jul-12,52,662,784,RINA,,,,,,,,,72,,,Portugal (Luso Carbon Fund),,Climate Bridge,6-Sep-11,,,,1-Nov-11,18-Apr-12,8-Jun-12,23-Jul-12,,Request,,2.099999905,5195.0,0.7691,,,,,3.799999952,49.0,1790.0,,0.77,8.0,14.01000023,9.47,2012m9,,,10/28/10,Portugal ,Portugal ,Luso Carbon Fund,Portugal (Luso Carbon Fund),,1,9.470000267,9.470000267,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,Financials,financial institutions,Investment Management,10,28,2010,China,Asia & Pacific,Portugal ,Landfill gas,Luso Carbon Fund,East Asia,Portugal (Luso Carbon Fund),0,cob1
